#ZVView-data-copy:  13-Dec-2012 09:14:57
#=======================================
#
#name:   ENDF/B-VII.1: IR-193(N,TOT)
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  11189
#data...
#            X            Y
#          MeV        barns
    2.35364e-5      16.6913
    2.35782e-5      17.3322
     2.3606e-5      17.8134
    2.36339e-5      18.3366
    2.36617e-5      18.9156
    2.36896e-5      19.5582
    2.37175e-5      20.2733
    2.37398e-5      20.9046
     2.3762e-5      21.5956
    2.37843e-5      22.3537
    2.37918e-5      22.6317
    2.38066e-5      23.1874
    2.38289e-5      24.1072
    2.38512e-5      25.1254
    2.38735e-5      26.2565
    2.38958e-5      27.5178
    2.39131e-5      28.6021
    2.39292e-5      29.7047
    2.39305e-5      29.7902
    2.39478e-5      31.1035
    2.39651e-5      32.5499
    2.39825e-5      34.1488
    2.39905e-5      34.9727
    2.39998e-5      35.9313
    2.40171e-5      37.9247
    2.40345e-5      40.1564
     2.4037e-5      40.5091
    2.40469e-5      41.9287
    2.40563e-5       43.405
    2.40592e-5      43.8678
    2.40716e-5      46.0001
    2.40834e-5      48.2252
     2.4084e-5      48.3432
    2.40964e-5      50.9449
    2.41054e-5      53.0336
    2.41088e-5      53.8318
    2.41212e-5      57.0598
    2.41249e-5      58.1428
    2.41335e-5      60.6856
    2.41379e-5      62.0978
    2.41435e-5      63.9239
    2.41509e-5       66.608
    2.41534e-5      67.5086
    2.41633e-5      71.4953
    2.41639e-5      71.7723
    2.41732e-5      75.9562
    2.41769e-5      77.8251
    2.41831e-5      80.9601
    2.41866e-5      82.9518
    2.41905e-5      85.1299
    2.41964e-5      88.7466
    2.41979e-5      89.7036
    2.42029e-5      93.0566
    2.42054e-5      94.7432
    2.42128e-5      100.295
    2.42202e-5      106.466
    2.42208e-5      106.984
    2.42277e-5      113.305
    2.42289e-5      114.462
    2.42349e-5      120.651
    2.42351e-5      120.823
     2.4241e-5      127.405
    2.42425e-5      129.286
     2.4247e-5      134.773
      2.425e-5      138.679
     2.4253e-5      142.816
    2.42574e-5      149.109
